id,query,ground_truths,status,entities,relations,symbol_candidates,results,grounding_candidates,vss_merged_candidates
3650,"I'm looking for papers with at least one shared co-author with ""A wideband electro-optic modulator based on long range surface plasmon resonances"". Ideally, these papers will also belong to the sphere of plasmonics or integrated photonics. I'm particularly interested in works that showcase photonic microwave up-conversion via long range surface plasmon resonances, similar to continuous wave laser modulation.","[1571170, 1469347, 1298695, 1524651, 1284140, 1370962, 1506835, 1265716, 1414901, 1755550]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""A wideband electro-optic modulator based on long range surface plasmon resonances""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""plasmonics""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""integrated photonics""}, ""semantic"": [], ""constant"": true}, ""D"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""shared co-author"", ""photonic microwave up-conversion via long range surface plasmon resonances"", ""continuous wave laser modulation""], ""constant"": false}}","{('D', 'A'): ['author___writes___paper'], ('D', 'ANSWER'): ['author___writes___paper'], ('A', 'B'): ['paper___has_topic___field_of_study'], ('A', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1219647, 1594080, 1847139, 1265709, 1449948, 1486208, 1515397, 1344586, 1388369, 1743104, 1464034, 1598815, 1722041, 1242686, 1375994, 1625958, 1727163, 1779885, 1306817, 1593424], 'answer_set': {1486208, 1743104, 1515397, 1265709, 1779885, 1722041, 1727163, 1242686, 1219647, 1306817, 1344586, 1593424, 1388369, 1449948, 1598815, 1594080, 1464034, 1847139, 1625958, 1375994}, 'ground_truth_set': {1571170, 1469347, 1298695, 1524651, 1284140, 1370962, 1506835, 1265716, 1414901, 1755550}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1571170, 1469347, 1298695, 1524651, 1284140, 1370962, 1506835, 1265716, 1414901, 1755550}, 'metrics': {'total_answers': 10, 'retrieved_count': 0, 'missed_count': 10, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 10, 'retrieved_count': 0, 'missed_count': 10, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1219647, 1594080, 1847139, 1265709, 1449948, 1486208, 1515397, 1344586, 1388369, 1743104, 1464034, 1598815, 1722041, 1242686, 1375994, 1625958, 1727163, 1779885, 1306817, 1593424]","[1219647, 1594080, 1847139, 1265709, 1449948, 1486208, 1515397, 1344586, 1388369, 1743104, 1464034, 1598815, 1409777, 1219258, 1193611, 1663612, 1268257, 1598731, 1744845, 1463112]"
10579,"Find more publications from the co-authors of ""Intense EM filamentation in relativistic hot plasmas"" that delve into the principles of self-organization.","[1217473, 1643105, 1869763, 1274631, 1789259, 1594355, 1208756, 1577236, 1305628, 1399679]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Intense EM filamentation in relativistic hot plasmas""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""co-authors of Intense EM filamentation in relativistic hot plasmas""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""principles of self-organization""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications from co-authors"", ""principles of self-organization""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('A', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1863705, 1294054, 1406588, 1632108, 1234706, 1384972, 1367579, 1645820, 1631736, 1716873, 1397429, 1396741, 1824235, 1621062, 1273329, 1850972, 1479306, 1839407, 1577668, 1726884], 'answer_set': {1396741, 1716873, 1479306, 1384972, 1234706, 1863705, 1367579, 1406588, 1726884, 1839407, 1397429, 1577668, 1621062, 1850972, 1294054, 1824235, 1632108, 1273329, 1631736, 1645820}, 'ground_truth_set': {1217473, 1643105, 1869763, 1274631, 1789259, 1594355, 1208756, 1577236, 1305628, 1399679}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1217473, 1643105, 1869763, 1274631, 1789259, 1594355, 1208756, 1577236, 1305628, 1399679}, 'metrics': {'total_answers': 10, 'retrieved_count': 0, 'missed_count': 10, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 10, 'retrieved_count': 0, 'missed_count': 10, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1863705, 1294054, 1406588, 1632108, 1234706, 1384972, 1367579, 1645820, 1631736, 1716873, 1397429, 1396741, 1824235, 1621062, 1273329, 1850972, 1479306, 1839407, 1577668, 1726884]","[1863705, 1294054, 1406588, 1632108, 1234706, 1384972, 1367579, 1645820, 1631736, 1716873, 1397429, 1396741, 1426896, 1510680, 1472102, 1354501, 1543717, 1595976, 1303253, 1362192]"
1682,"Find publications by coauthors of ""Thompson scattering in high-intensity chirped laser pulses"" which also explore the impact of spin on magnetic fields.","[1615103, 1453412, 1604165, 1242825, 1507153, 1187933, 1352251, 1220125, 1269503]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Thompson scattering in high-intensity chirped laser pulses""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""coauthors of Thompson scattering in high-intensity chirped laser pulses""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""impact of spin on magnetic fields""], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications by coauthors of Thompson scattering in high-intensity chirped laser pulses"", ""explore the impact of spin on magnetic fields""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1625275, 1434234, 1394896, 1558467, 1763323, 1746728, 1447155, 1476646], 'answer_set': {1418755, 1735838, 1476646, 1502887, 1330600, 1746728, 1270579, 1737400, 1818809, 1625275, 1199554, 1558467, 1394896, 1215466, 1345521, 1447155, 1434234, 1763323, 1391484, 1680381}, 'ground_truth_set': {1220125, 1453412, 1604165, 1242825, 1507153, 1269503, 1352251, 1187933, 1615103}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1220125, 1453412, 1604165, 1242825, 1507153, 1269503, 1352251, 1187933, 1615103}, 'metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1625275, 1434234, 1394896, 1558467, 1763323, 1746728, 1447155, 1476646]","[1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1659441, 1751716, 1455968, 1598357, 1837937, 1589757, 1614368, 1247354]"
5018,Explore published research on room temperature magnetocaloric effects by authors affiliated with Universidad Autónoma de Ciudad Juárez.,"[1357154, 1263301, 1656712, 1279852, 1412528, 1265206, 1305912, 1260633, 1650171, 1524573]",IN_PROGRESS,"{""A"": {""type"": [""institution""], ""lexical"": {""name"": ""Universidad Aut\u00f3noma de Ciudad Ju\u00e1rez""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""affiliated with Universidad Aut\u00f3noma de Ciudad Ju\u00e1rez""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""room temperature magnetocaloric effects""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""published research"", ""room temperature magnetocaloric effects"", ""by authors affiliated with Universidad Aut\u00f3noma de Ciudad Ju\u00e1rez""], ""constant"": false}}","{('A', 'B'): ['author___affiliated_with___institution'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1222921, 1692302, 1234638, 1339138, 1434076, 1396402, 1238925, 1305216, 1508650, 1524573, 1302902, 1481059, 1775771, 1225389, 1173023, 1304293, 1196906, 1855860, 1690150, 1709542], 'answer_set': {1305216, 1339138, 1222921, 1238925, 1692302, 1775771, 1173023, 1690150, 1508650, 1225389, 1396402, 1234638, 1434076, 1524573, 1481059, 1304293, 1709542, 1196906, 1855860, 1302902}, 'ground_truth_set': {1357154, 1263301, 1656712, 1279852, 1412528, 1265206, 1305912, 1260633, 1650171, 1524573}, 'retrieved_ground_truths': {1524573}, 'missed_ground_truths': {1357154, 1263301, 1656712, 1279852, 1412528, 1265206, 1305912, 1260633, 1650171}, 'metrics': {'total_answers': 10, 'retrieved_count': 1, 'missed_count': 9, 'recall@50': 0.1, 'recall@20': 0.1, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.1}, 'vss_merged_metrics': {'total_answers': 10, 'retrieved_count': 1, 'missed_count': 9, 'recall@50': 0.1, 'recall@20': 0.1, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.1}}","[1222921, 1692302, 1234638, 1339138, 1434076, 1396402, 1238925, 1305216, 1508650, 1524573, 1302902, 1481059, 1775771, 1225389, 1173023, 1304293, 1196906, 1855860, 1690150, 1709542]","[1222921, 1692302, 1234638, 1339138, 1434076, 1396402, 1238925, 1305216, 1508650, 1524573, 1302902, 1481059, 1375305, 1205205, 1673741, 1464331, 1191754, 1793005, 1408765, 1279197]"
4821,"Search for papers with a common author to ""Fast separation of two trapped ions"", that are also within the same research domain, and discuss a methodology for examining trapped ions or akin quantum systems.","[1530211, 1359173, 1197605, 1365510, 1233895, 1413863, 1564336, 1823101, 1597087]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Fast separation of two trapped ions""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""research domain"", ""trapped ions"", ""quantum systems""], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""common author"", ""methodology for examining trapped ions or akin quantum systems""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('A', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1554073, 1370761, 1492190, 1428184, 1866820, 1642888, 1537070, 1785852, 1244303, 1385120, 1750141, 1318364, 1745983, 1198425, 1830656, 1778475, 1663283, 1854988, 1723171, 1327765], 'answer_set': {1830656, 1642888, 1370761, 1854988, 1244303, 1327765, 1554073, 1385120, 1723171, 1778475, 1537070, 1663283, 1745983, 1866820, 1428184, 1198425, 1318364, 1492190, 1785852, 1750141}, 'ground_truth_set': {1530211, 1197605, 1359173, 1365510, 1233895, 1413863, 1564336, 1823101, 1597087}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1530211, 1197605, 1359173, 1365510, 1233895, 1413863, 1564336, 1823101, 1597087}, 'metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1554073, 1370761, 1492190, 1428184, 1866820, 1642888, 1537070, 1785852, 1244303, 1385120, 1750141, 1318364, 1745983, 1198425, 1830656, 1778475, 1663283, 1854988, 1723171, 1327765]","[1554073, 1370761, 1492190, 1428184, 1866820, 1642888, 1537070, 1785852, 1244303, 1385120, 1750141, 1318364, 1608033, 1552686, 1295714, 1867795, 1768858, 1785260, 1476050, 1560940]"
12017,"Search for publications co-authored by one of the authors of ""Astrophysical Rates for Explosive Nucleosynthesis: Stellar and Laboratory Rates for Exotic Nuclei"" that are within the realm of astrophysics or nuclear physics and include discussions on the configuration of fission reaction chambers for investigating nuclear reactions.","[1608952, 1264355, 1331695, 1466832, 1601684, 1659926, 1487512, 1574396, 1615838]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Astrophysical Rates for Explosive Nucleosynthesis: Stellar and Laboratory Rates for Exotic Nuclei""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""co-author of Astrophysical Rates for Explosive Nucleosynthesis: Stellar and Laboratory Rates for Exotic Nuclei""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""astrophysics""}, ""semantic"": [], ""constant"": true}, ""D"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""nuclear physics""}, ""semantic"": [], ""constant"": true}, ""E"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""configuration of fission reaction chambers"", ""investigating nuclear reactions""], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications co-authored by one of the authors of Astrophysical Rates for Explosive Nucleosynthesis: Stellar and Laboratory Rates for Exotic Nuclei"", ""within the realm of astrophysics or nuclear physics"", ""discussions on the configuration of fission reaction chambers for investigating nuclear reactions""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('A', 'C'): ['paper___has_topic___field_of_study'], ('A', 'D'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'D'): ['paper___has_topic___field_of_study'], ('ANSWER', 'E'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1554692, 1568804, 1232341, 1623750, 1383122, 1366659, 1424800, 1608951, 1454462, 1251909, 1671367, 1699401, 1384323, 1237761, 1499773, 1493236, 1543896, 1869129, 1573896, 1495511], 'answer_set': {1237761, 1366659, 1554692, 1384323, 1573896, 1424800, 1568804, 1251909, 1623750, 1671367, 1699401, 1869129, 1383122, 1232341, 1495511, 1543896, 1493236, 1608951, 1499773, 1454462}, 'ground_truth_set': {1264355, 1487512, 1331695, 1466832, 1601684, 1659926, 1608952, 1574396, 1615838}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1264355, 1487512, 1331695, 1466832, 1601684, 1659926, 1608952, 1574396, 1615838}, 'metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1554692, 1568804, 1232341, 1623750, 1383122, 1366659, 1424800, 1608951, 1454462, 1251909, 1671367, 1699401, 1384323, 1237761, 1499773, 1493236, 1543896, 1869129, 1573896, 1495511]","[1554692, 1568804, 1232341, 1623750, 1383122, 1366659, 1424800, 1608951, 1454462, 1251909, 1671367, 1699401, 1597864, 1814914, 1237761, 1853892, 1508897, 1581510, 1432502, 1253328]"
12883,"Are there any papers, sharing a coauthor with ""Searching for Beyond the Standard Model Physics with COHERENT Energy and Timing Data"", within a matching subject area that also discuss the recently identified Milky Way satellite Eridanus II?","[1203590, 1726090, 1205644, 1712404, 1403830, 1302874, 1766396, 1718271]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Searching for Beyond the Standard Model Physics with COHERENT Energy and Timing Data""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""Beyond the Standard Model Physics""], ""constant"": false}, ""D"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""Milky Way satellite Eridanus II""], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""sharing a coauthor"", ""matching subject area"", ""recently identified Milky Way satellite Eridanus II""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('A', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'D'): ['paper___has_topic___field_of_study']}",,"{'answer_list': [1787988, 1813979, 1872165, 1857688, 1795185, 1840546, 1273293, 1748139, 1808083, 1856197, 1359822, 1729507, 1607905, 1866526, 1861984, 1672839, 1748888, 1188063, 1746856, 1853696], 'answer_set': {1853696, 1672839, 1748888, 1857688, 1866526, 1840546, 1872165, 1746856, 1748139, 1856197, 1273293, 1359822, 1808083, 1787988, 1813979, 1188063, 1861984, 1607905, 1729507, 1795185}, 'ground_truth_set': {1203590, 1726090, 1205644, 1712404, 1403830, 1302874, 1766396, 1718271}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1203590, 1726090, 1205644, 1712404, 1403830, 1302874, 1766396, 1718271}, 'metrics': {'total_answers': 8, 'retrieved_count': 0, 'missed_count': 8, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 8, 'retrieved_count': 2, 'missed_count': 6, 'recall@50': 0.25, 'recall@20': 0.25, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.07692307692307693}}","[1787988, 1813979, 1872165, 1857688, 1795185, 1840546, 1273293, 1748139, 1808083, 1856197, 1359822, 1729507, 1607905, 1866526, 1861984, 1672839, 1748888, 1188063, 1746856, 1853696]","[1787988, 1813979, 1872165, 1857688, 1795185, 1840546, 1273293, 1748139, 1808083, 1856197, 1359822, 1729507, 1726090, 1205644, 1278448, 1396181, 1803734, 1216450, 1588055, 1330667]"
